time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-20T08:53:20.270Z,35.627,-117.4735,8.88,3.18,ml,46,65,0.04145,0.14,ci,ci39077911,2020-02-21T21:24:30.846Z,"17km SSW of Searles Valley, CA",earthquake,0.13,0.35,0.159,281,reviewed,ci,ci
2020-02-20T07:12:30.950Z,35.93,-117.7061667,2.69,2.76,ml,31,53,0.04867,0.14,ci,ci39077847,2020-02-20T15:15:14.877Z,"18km E of Little Lake, CA",earthquake,0.16,0.38,0.121,25,automatic,ci,ci
2020-02-20T06:04:00.670Z,40.4585,-125.6308333,12.26,3.32,ml,47,260,0.9869,0.27,nc,nc73343650,2020-02-21T01:50:02.754Z,"115km W of Petrolia, CA",earthquake,2.67,4.38,0.255,35,reviewed,nc,nc
2020-02-20T02:19:09.550Z,36.6194992,-121.1740036,6.97,2.71,md,41,116,,0.14,nc,nc73343545,2020-02-20T22:17:20.600Z,"10km NNW of Pinnacles, CA",earthquake,0.29,0.82,0.16,42,automatic,nc,nc
2020-02-20T01:04:00.399Z,59.2329,-147.6345,13.1,3,ml,,,,0.65,ak,ak0202cd0zsu,2020-02-20T01:15:21.560Z,"77km WSW of Middleton Island, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-02-19T21:38:06.692Z,43.715,-127.9085,10,4.5,mb,,192,1.97,0.97,us,us70007t8b,2020-02-20T17:39:34.262Z,"291km WNW of Bandon, Oregon",earthquake,8.1,1.9,0.057,91,reviewed,us,us
2020-02-19T19:22:06.299Z,60.2587,-151.7669,65.6,2.8,ml,,,,0.58,ak,ak0202b0bbfy,2020-02-19T21:28:34.040Z,"27km WSW of Cohoe, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-02-19T19:21:33.761Z,61.1143,-148.4749,1.3,2.6,ml,,,,0.85,ak,ak0202b0b64y,2020-02-20T00:25:37.661Z,"39km NNE of Whittier, Alaska",ice quake,,0.3,,,automatic,ak,ak
2020-02-19T16:41:17.016Z,53.6702,-165.7602,68.39,3.8,mb,,194,0.44,0.43,us,us70007t5b,2020-02-20T00:43:56.321Z,"51km S of Akutan, Alaska",earthquake,8,13.4,0.18,8,reviewed,us,us
2020-02-19T15:30:01.876Z,60.801,-151.1072,60.8,2.5,ml,,,,0.48,ak,ak0202axzacp,2020-02-19T22:08:29.040Z,"16km NNE of Nikiski, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-02-19T11:36:38.769Z,63.7088,-149.3343,103.7,2.5,ml,,,,0.57,ak,ak0202avmx02,2020-02-19T11:48:23.040Z,"27km SW of Healy, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-02-19T08:08:45.090Z,39.2271667,-120.1046667,6.41,2.68,md,20,69,0.02555,0.09,nc,nc73343145,2020-02-20T08:47:27.201Z,"4km N of Dollar Point, CA",earthquake,0.22,0.45,0.151,33,reviewed,nc,nc
2020-02-19T04:09:35.210Z,19.1785,-155.4858333,27.88,3.09,ml,65,79,0.02479,0.1,hv,hv71389617,2020-02-20T01:34:00.660Z,"3km SSW of Pahala, Hawaii",earthquake,0.35,0.55,0.144,45,reviewed,hv,hv
2020-02-19T02:52:17.290Z,19.2248333,-155.4055,33.05,2.89,ml,59,142,0.0147,0.12,hv,hv71389452,2020-02-19T03:46:30.516Z,"8km ENE of Pahala, Hawaii",earthquake,0.45,0.61,0.167,41,reviewed,hv,hv
2020-02-19T01:41:50.100Z,36.2111667,-118.1288333,2.44,2.53,ml,31,85,0.2316,0.13,ci,ci39076271,2020-02-21T17:52:53.870Z,"14km SW of Olancha, CA",earthquake,0.17,0.81,0.116,53,reviewed,ci,ci
2020-02-19T00:29:50.760Z,36.8081667,-118.1373333,3.85,3.33,ml,41,36,0.2566,0.2,ci,ci39076207,2020-02-20T15:16:38.202Z,"6km E of Independence, CA",earthquake,0.25,1.43,0.182,205,reviewed,ci,ci
2020-02-18T23:30:02.590Z,56.1213,-149.4249,10,3.3,ml,,259,2.4,0.82,us,us70007stc,2020-02-19T07:32:47.315Z,"259km SE of Kodiak, Alaska",earthquake,9.5,2,0.055,44,reviewed,us,us
2020-02-18T21:25:03.300Z,31.8581667,-115.0521667,5.95,2.7,ml,22,100,0.2799,0.33,ci,ci39075999,2020-02-18T23:55:54.040Z,"38km S of Estacion Coahuila, B.C., MX",earthquake,0.36,31.61,0.264,58,reviewed,ci,ci
2020-02-18T19:04:19.820Z,36.2083333,-118.128,2.27,3.15,ml,54,67,0.2343,0.17,ci,ci39075799,2020-02-19T15:44:40.040Z,"14km SW of Olancha, CA",earthquake,0.15,0.58,0.151,213,reviewed,ci,ci
2020-02-18T18:20:56.820Z,38.7866667,-122.7436667,1.51,2.72,md,83,34,0.006416,0.06,nc,nc73342805,2020-02-24T18:35:17.817Z,"2km NE of The Geysers, CA",earthquake,0.1,0.14,0.246,71,reviewed,nc,nc
2020-02-18T13:20:19.720Z,19.2235,-155.4098333,33.01,2.65,ml,66,141,0.01816,0.12,hv,hv71388422,2020-02-18T21:57:50.710Z,"7km NE of Pahala, Hawaii",earthquake,0.44,0.54,0.122,40,reviewed,hv,hv
2020-02-18T10:07:21.721Z,62.8681,-151.3039,107.9,2.5,ml,,,,0.36,ak,ak020297bw01,2020-02-22T07:06:52.040Z,"86km NW of Talkeetna, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-02-18T08:26:13.713Z,58.6282,-151.282,13.9,3.2,ml,,,,0.57,ak,ak02029692im,2020-02-18T08:38:25.043Z,"114km NE of Kodiak, Alaska",earthquake,,1.3,,,automatic,ak,ak
2020-02-18T07:29:17.728Z,58.4085,-151.294,1.6,3,ml,,,,0.43,ak,ak020295oajg,2020-02-18T07:36:29.089Z,"95km NE of Kodiak, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-02-18T07:24:27.750Z,39.9101667,-120.5558333,9.4,2.76,md,27,102,0.1571,0.12,nc,nc73342655,2020-02-20T04:47:03.210Z,"8km WNW of Lake Davis, CA",earthquake,0.26,0.65,0.115,35,reviewed,nc,nc
2020-02-18T07:23:44.229Z,56.8199,-154.9772,39.8,2.7,ml,,,,0.66,ak,ak020295n2ba,2020-02-18T07:26:25.368Z,"100km SW of Larsen Bay, Alaska",earthquake,,3.6,,,automatic,ak,ak
2020-02-18T06:04:10.538Z,61.4856,-150.053,33.8,2.5,ml,,,,0.55,ak,ak020294xhhn,2020-02-24T15:11:27.040Z,"1km SW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-02-17T23:58:07.562Z,61.6876,-150.3452,42.2,3.1,ml,,,,0.61,ak,ak02027ru2nw,2020-02-19T13:52:34.083Z,"16km WSW of Willow, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-02-17T20:14:15.260Z,39.2115,-123.1025,3.51,2.79,md,57,81,0.1188,0.1,nc,nc73342485,2020-02-20T02:53:05.189Z,"10km NNE of Talmage, CA",earthquake,0.14,1.43,0.347,40,reviewed,nc,nc
2020-02-17T19:27:53.800Z,61.7332,-152.1102,111.4,2.9,ml,,,,0.53,ak,ak02027p9snw,2020-02-19T00:26:10.040Z,"109km W of Willow, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-02-17T18:26:40.227Z,59.4671,-154.2903,192.7,2.6,ml,,,,0.68,ak,ak02027oo4e4,2020-02-17T18:34:27.415Z,"47km SE of Old Iliamna, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-02-17T14:39:44.307Z,62.719,-149.8528,50.4,2.5,ml,,,,0.87,ak,ak02027md6g6,2020-02-24T17:30:57.040Z,"43km NNE of Talkeetna, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-02-17T12:12:26.360Z,21.3105,-156.8608333,0.14,2.82,ml,9,203,0.5712,0.09,hv,hv71386947,2020-02-24T07:23:13.040Z,"51km N of Waialua, Hawaii",earthquake,2.46,0.29,0.073,4,reviewed,hv,hv
2020-02-17T09:18:06.340Z,57.4893,-156.0305,98.9,4.7,ml,,,,0.51,ak,ak02027j9fgu,2020-02-18T07:08:28.951Z,"122km W of Larsen Bay, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-02-17T08:34:56.651Z,52.2569,-170.0836,35,4.1,mb,,141,0.579,0.94,us,us70007rr0,2020-02-17T20:56:14.902Z,"58km SE of Yunaska Island, Alaska",earthquake,5.8,2,0.052,99,reviewed,us,us
2020-02-17T06:32:06.550Z,32.0603333,-116.359,16.36,3,ml,59,91,0.3228,0.26,ci,ci39074143,2020-02-21T21:57:46.147Z,"32km NE of Ensenada, B.C., MX",earthquake,0.26,0.85,0.15,165,reviewed,ci,ci
